,College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
69,"Apeejay School of Management - [ASM], New Delhi","New Delhi,  Delhi NCR",MCI,Estd 1980,Government,8.0,"Sanjay Gandhi Postgraduate Institute of Medical Sciences (SGPGIMS), popularly known as SGPGI Lucknow, is a prominent medical institute in India established in 1983 in Uttar Pradesh to provide postgraduate education in the field of Medical Sciences. SGPGI was established as a Centre of Excellence in Uttar Pradesh for providing medical care, education, and research. The institute is recognized by UGC and is approved by the Medical Council of India (MCI). SGPGI has been ranked 7th in India by NIRF Ranking and 8th in India by IIRF Ranking in 2023 in the Medical Category. The institute offers postgraduate and super specialty courses in various specializations. MD, MS, DM, and M.Ch are the major courses offered by SGPGIMS. Along with PG Courses, SGPGIMS Lucknow also provides B.Sc and M.Sc in Allied Health Sciences. Admissions to most of the courses at SGPGI are entrance-based. "
70,NLU Delhi (NLUD),"New Delhi,  Delhi NCR",AICTE,Estd 2007,Private,8.6,"Praxis Business School is one of the top private B-Schools established in the year 2007 popularly known as PBS Kolkata. The institute is approved by AICTE. It offers admission to a 2-year Post Graduate Diploma in Management (PGDM) in the disciplines of Marketing, Finance, Human Resource, Management, Data Science and Production Management. Apart from this, PBS Kolkata also offers a 9-month PG Program in Data Engineering in regular and online modes. Praxis Business School has been ranked 2nd in Kolkata and 4th in East India for PGDM by Times B School Survey 2022. "
71,IIFM Bhopal,"Bhopal,  Madhya Pradesh","NCTE, AICTE, COA, BCI, UGC, AIU",Estd 1986,Private University,8.1,"Lovely Professional University (LPU) is a private university established in 2005 in Jalandhar, Punjab. LPU is approved by UGC, NCTE, PCI, COA, BCI, PSCAE, ITPI, and other prominent organizations. The university is accredited by NAAC with an A++ Grade, ACBSP, and ICAR and it holds the membership of AIU, IAU, IIE, ACU-UK, and The Institution of Engineers (India). LPU is ranked at 38th position in NIRF Ranking 2023 among all Private and Government Universities in India. The university is the largest single-campus university in India with more than 30,000 students, offering 150+ programs across 40+ disciplines in the fields of Engineering, Business, Law, Architecture, Management, and others. LPU Admission is based on merit in LPUNEST (Lovely Professional University National Entrance and Scholarship Test)."
72,XIME Bangalore,"Bangalore,  Karnataka","NCTE, COA, PCI, IAP, BCI, ICAR, UGC",Estd 2005,Private University,8.2,"Jamia Millia Islamia (JMI) is a central university located in New Delhi. Established in 1920, the university is recognized by the UGC and accredited by an ‘A’ grade by the NAAC. Jamia Millia Islamia is ranked 3rd among the top universities in India and 25th rank in the management category by NIRF 2023. JMI has several research centers including the Center for Management Studies, the Nelson Mandela Center for Peace and Conflict Resolution, and the AJK Mass Communication Research Center."
73,CMC Vellore,"Vellore,  Tamil Nadu","AICTE, UGC",Estd 1920,Central University,8.2,"Chandigarh University is a private university established in the year 2012 located in Mohali, Punjab. The university is accredited with an “A+ Grade” by NAAC and recognized by UGC and AICTE. Chandigarh University is approved by ICAR, BCI, NCHMCT, PCI, COA, NCTE, AIU, CSI, and other prominent bodies. The institute holds the membership of international organizations like, IAU, ACU, IEEE, ASME, IUCEE, and ACS. The university offers admission through Chandigarh University Common Entrance Test (CUCET) scores to different UG and PG courses. As per NIRF Ranking 2023, Chandigarh University is ranked at 27th position among all the Indian Universities. CU has also received accreditation from ABET for eight of its engineering programs. "
74,SIDTM Pune,"Pune,  Maharashtra","NCTE, AICTE, COA, PCI, BCI, NCHMCT, UGC, NBA, AIU",Estd 2012,Private University,8.9,"School of Planning and Architecture (SPA) New Delhi, is a premier institute of architecture established in the year of 1941. It is deemed to be a university having recognition as an institute of National importance. The college is ranked #5 in NIRF 2023 ranking for Architecture. SPA Delhi has collaborations with SPA Vijaywada, SPA Bhopal and B.R Ambedkar University of Delhi."
75,"International School of Management Studies - [ISMS], Pune","Pune,  Maharashtra",MHRD,Estd 1941,Deemed University,7.6,"IMS Ghaziabad is one of the trusted Business Schools in India with 34 years of academic legacy. Established in 1990, IMS Ghaziabad is one of the Best B schools in India accredited by NBA. IMS Ghaziabad offers AICTE approved PGDM program in five specialisations as its flagship course. Admission to IMS Ghaziabad is done on CAT/ MAT/ XAT/ CMAT + GD and PI round + Written Aptitude test scores. Direct Link to Apply for IMS Ghaziabad Admissions"
76,SGPGI,"Lucknow,  Uttar Pradesh","AICTE, NBA, AIU",Estd 1990,Private,8.1,"St. Stephen’s College was founded in the year 1181 and is affiliated to Delhi University. It is recognized by the UGC and is accredited by the NAAC with an ‘A’ grade. St. Stephen’s College has also been ranked 14th in the college category as per NIRF Ranking 2023. Similarly, the college has been ranked 2nd for Arts and 3rd for Science by India Today. "
77,Praxis Business School,"Kolkata,  West Bengal",UGC,Estd 1881,Public,8.7,"Banaras Hindu University (BHU), formerly known as Central Hindu College, is a central university located in Varanasi, India. It is recognised by the UGC and accredited with an ‘A’ grade by NAAC. BHU is ranked 5th among the Top Universities in India by NIRF Ranking 2023. BHU Campus spans across 1,300 acres of land and has all the facilities that students can imagine. In fact, it is the largest residential university in Asia with over 30,000 students residing on campus. BHU Affiliated Colleges includes 6 institutes, 14 faculties, 140 departments, four interdisciplinary centres, a constituent college for women, and 3 constituent schools."
78,Amity University Noida,"Noida,  Uttar Pradesh","UGC, AIU",Estd 1916,Central University,7.8,"Jagan Institute of Management Studies (JIMS) Technical Campus, Rohini offers 2-year full-time flagship PGDM Program. The institute also offers 3 UG programs as BA-ECO(H), BBA and BCA, a PG program of MCA and a Fellowship doctoral program. Admission to PGDM programs are based on entrance exam XAT/ MAT/ CAT/ CMAT/ GMAT/ ATMA followed by a  Group Discussion and Personal Interview round whereas admission to MCA is based on valid scores in  NIMCET. JIMS Fees for the Fellowship program is INR 4.85 Lacs. Direct Link to Apply for JIMS Rohini admission"
79,LPU,"Jalandhar,  Punjab","AICTE, NBA, AIU, AACSB",Estd 1993,Private,8.0,"PSG Institute of Management (PSGIM) is ranked 89th by NIRF 2023 and 37th by IIRF 2024 in the Management Category. PSGIM Coimbatore offers postgraduate and doctoral courses in management. Admissions at PSGIM to these courses are conducted every year and done on the basis of management entrance test - CAT, MAT, TANCET, ATMA, etc."
80,Jamia Millia Islamia (JMI),"New Delhi,  Delhi NCR",AICTE,Estd 1961,Private Institute,8.6,
81,Chandigarh University,"Chandigarh,  Chandigarh","AICTE, NBA",Estd 1995,Private,8.7,"Anna University is a government university located in Chennai, Tamil Nadu. It is recognized by the UGC as a “University with Potential for Excellence” (UPE) and accredited with an ‘A’ grade by the NAAC. As per the NIRF 2023 rankings, Anna University is the 18th best university to study in India. Anna University offers 29 UG, 90 PG, and Doctorate level courses under 8 faculties and over 30 departments on its campus. Additionally, it offers more than 100 Degree and Diploma courses through its 593 affiliated colleges that have over 7.2 lakh students enrolled. Check Anna University Affiliated Colleges"
82,SPA Delhi,"New Delhi,  Delhi NCR","AICTE, UGC",Estd 1978,State University,7.5,"National Centre for Management of Agricultural Extension or popularly known as MANAGE was established in 1987 by the Ministry of Agriculture. It is an autonomous institute located in the state of Hyderabad. It is sprawled over an artistically landscaped area of 17 hectares which has beautiful lawns, academic blocks, residential blocks, library, computer centers, and much more other facilities. The Institute provides specializations only in postgraduate diploma courses in agricultural management. "
83,IMS Ghaziabad,"Ghaziabad,  Uttar Pradesh","AICTE, NBA",Estd 1987,Public (Autonomous),8.6,"IIEBM Indus Business School situated in Pune, Maharashtra was established in August 2000 as an Educational Institute recognized by the Govt. of Maharashtra. The Institute that is spread across 2000 sq. ft. is affiliated to Savitribai Phule Pune University (SPPU). IIEBM offers PG Diploma course in Management to the candidates. The institute offers PGDM & PGD-ERP programmes. There are 6 specializations in the PGDM programme. "
84,St. Stephen's College Delhi,"New Delhi,  Delhi NCR",AICTE,Estd 2000,Private,6.8,"MET Institute of Management was established by the Mumbai Educational Trust in 1989. The college is Ranked 2nd Best B-School in Mumbai, India's 17th Best Pvt. B-School, 28th Best B-School All India and 14th amongst Top West B-Schools by the Times B-School Survey 2023. The Institute has been awarded ‘’Best Education Brand’’ By the Economic Times. MET is also ISO certified and affiliated to the University of Mumbai."
85,BHU,"Varanasi,  Uttar Pradesh",AICTE,Estd 1989,Private,7.2,"Institute of Management Technology, Nagpur is one of the Top Business Schools in India Institute of Management Technology, Nagpur is a private business school established in 2004. The School is affiliated with AICTE and earned numerous accreditations such as AIU, NBA, AACSB, and AMDISA. The college is accorded with the Super League status. Apart from Nagpur, IMT has its other campuses in Ghaziabad, Hyderabad and Dubai. "
86,JIMS Rohini,"New Delhi,  Delhi NCR","AICTE, NBA, AIU, AACSB",Estd 2004,Private (Autonomous),8.3,"Established in 1995, Jaipuria Institute of Management, Lucknow has earned 27 years of excellence in management education while ranked 92nd amongst Top Management Institutes in India by NIRF 2023 and 66th by IIRF 2024 in Top private B-Schools in India. Jaipuria Lucknow is AACSB Business Education Alliance Member and accredited with NAAC Grade ‘A’. The institute offers two-year full-time AICTE-approved, NBA accredited and AIU recognized PGDM programs - PGDM, PGDM (Financial Services), PGDM (Retail Management) and doctoral level Fellowship Program in Management (FPM)."
87,PSG Institute of Management (PSGIM),"Coimbatore,  Tamil Nadu","AICTE, NBA, AIU, AACSB",Estd 1995,Private (Autonomous),8.5,"IBA Bangalore, established in the year 2001 is one of the top private MBA colleges in Bengaluru. The institute boasts of being one of the top 1% colleges in India and one among the only 56 out of more than 5000 colleges in India to receive an International Accreditation by IACBE. World Consulting & Research Corporation (WCRC) has certified IBA (process evaluated by KPMG) as one of Asia’s fastest-growing Institutes."
88,"SIES College of Management Studies - [SIESCOMS], Navi Mumbai","Navi Mumbai,  Maharashtra","AICTE, MHRD",Estd 2001,Private Institute,8.1,"FOSTIIMA Business School is one of the best PGDM institutes in Delhi-NCR. It was established in the year 2007 and has been approved by AICTE (All India Council for Technical Education). During, the 8th National Education Awards by ABP News, FOSTIIMA Business School was awarded as 'Outstanding B-School in North-India'. It is an exclusive business school that believes in transforming students into a new pool of upcoming managers for prominent companies. FOSTIIMA offers a two-year full-time PGDM/MBA course for graduate students."
89,Anna University,"Chennai,  Tamil Nadu",AICTE,Estd 2007,Private,7.7,"The Institute of Public Enterprise (IPE) was established in 1964 as an autonomous non-profit society. In 1995, the Institute launched its flagship course two years full-time Post Graduate Diploma in Management (PGDM) program. It also provides PGDM in the areas of Marketing, Banking Insurance, and Financial Services, International Business, and Human Resource Management. Besides, IPE also provides part-time PGDM (Evening) and a doctoral degree course in Social Sciences. The courses offered are also recognized as equivalent to MBA by the Association of Indian Universities (AIU). IPE Admission to any PGDM courses is based on the CAT/ XAT/ MAT/ GMAT/ CMAT/ ATMA scores. "
90,MANAGE Hyderabad,"Hyderabad,  Telangana",AICTE,Estd 1964,Private,8.2,"NIT Tiruchirappalli popularly known as NIT Trichy features among the top 10 engineering institutions in India. Established in 1964 as Regional Engineering College, NIT Trichy was granted autonomous status in 2003 and renamed as National Institute of Technology. Apart from a stellar ranking of 9 in NIRF 2023 Engineering rankings, NIT Trichy has successfully bagged 4th rank in Architecture and 35th rank in Management categories. The 800-acre campus of NIT Trichy is located in Thuvakudi on the Trichy - Tanjore road (NH 67). "
91,IIEBM Indus Business School,"Pune,  Maharashtra","AICTE, UGC, MHRD",Estd 1964,Autonomous University,8.4,"ISB&M is India's premier AICTE approved B- school which has completed 24 Glorious Years and has been known for its innovation, a strong faculty-student driven connect and consistent placement performance. Established in 2000 and located at Nande, Pune, International School of Business and Media (ISB&M) has established Global benchmarks in learning standards and talent development. The institute is ranked Amongst top 2% B-schools in India in terms of Education & Career Building and 2nd most preferred B School in Pune."
92,MET Mumbai,"Mumbai,  Maharashtra",AICTE,Estd 2000,Private,7.3,"Established in 2004, Jaipuria Institute of Management (JIM), Noida has driven 18+ years of excellence in management education. The institute is ranked 47th amongst all Management Institutes in India by NIRF 2023 and 74th in Top B-Schools by Business Today (BT) 2023."
93,IMT Nagpur,"Nagpur,  Maharashtra","AICTE, NBA, AIU, AACSB",Estd 2004,Private,8.4,"Kasturba Medical College (KMC), Manipal was the first private medical college in India established in 1953. It got recognition in 1958 by the Medical Council of India & in 2008 from the Government of India. The institute comes under the aegis of the Manipal Academy of Higher Education (MAHE). KMC offers degree and doctoral programs in the discipline of Surgery, Medicine, Super Speciality, Forensic Science and many more. Admission is done on the basis of entrance exams and cutoff criteria of the institute."
94,Jaipuria Institute of Management Lucknow,"Lucknow,  Uttar Pradesh",MCI,Estd 1953,Private,9.0,"Balaji Institute of Modern Management (BIMM) Pune, established in 1999 with its maiden batch passing out in year 2001 is a premier management institute located in Pune. The institute offers full-time MBA degree and executive MBA for professionals."
95,Indus Business Academy,"Bangalore,  Karnataka",AICTE,Estd 1999,Private,8.2,"In the globalized world we live in, very few countries or companies can be self-sufficient without the need to interact with the global economy. Keeping the needs of such transnational companies in mind, BIIB was started in 2003 with the aim of training managers to tackle the challenges of the global economy. The practice-oriented courses are carefully designed to include the elements of foreign trade. Balaji Institute of International Business (BIIB), Pune is run under the aegis of Sri Balaji Society established in 1999."
96,FOSTIIMA Business School,"New Delhi,  Delhi NCR",AICTE,Estd 2003,Private Institute (Autonomous),7.6,"N.L. Dalmia was established in 1995 offers postgraduate programs in management and PhD. The Institute is approved by AICTE, New Delhi and is also affiliated to the University of Mumbai. Admissions at N.L. Dalmia to these programs are conducted every year and offered on the basis of scores obtained in national-level entrance exams. N. L. Dalmia aims to nurture, empower and enhance the skills of future business leaders by providing value-based quality education. The institute conducts various industrial visits which help in providing students with hands-on experience."
97,IPE Hyderabad,"Hyderabad,  Telangana",AICTE,Estd 1995,Private,8.4,
98,NIT Trichy,"Tiruchirappalli,  Tamil Nadu","AICTE, BCI",Estd 2004,Private,8.2,
99,ISB&M Pune,"Pune,  Maharashtra",AICTE,Estd 2008,Private,7.6,Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER) is one of the premier medical institutes in India. JIPMER was established on its current campus in 1964 in Pondicherry and is recognized by the Medical Council of India. JIPMER has been ranked as the 5th Best Medical Institute in India as per NIRF Ranking 2023. It has also been recognized as an ‘Institution of National Importance’ by the Government of India. JIPMER is among the very few institutions in the country that offer courses from undergraduate to super specialty levels in the field of Medicine and Health Sciences. 
100,Jaipuria Noida,"Noida,  Uttar Pradesh","DCI, MCI, UGC",Estd 1964,Autonomous University,8.6,
101,KMC Manipal,"Manipal,  Karnataka",AICTE,Estd 1996,Private,7.7,"Tamil Nadu Agricultural University (TNAU) is an agricultural university located in Coimbatore, Tamil Nadu, India and was established in 1971. The university is recognized by UGC and functions in accordance with Tamil Nadu Directorate of Education. "
102,"Balaji Institute of Modern Management - [BIMM], Pune","Pune,  Maharashtra","ICAR, UGC",Estd 1971,State University,7.7,"Symbiosis Institute of Operations Management was established in 2005 with the affiliation of Symbiosis International (Deemed University) and is approved by AICTE. Institute has won many awards including the “Pride of Maharashtra Award”, “B-School with the Best Industry-related Curriculum in Operations Management"", and ""B-School Excellence Award for Innovative, Modern and Industry related Curriculum"". SIOM Nashik has been ranked 25th by IIRF Ranking 2024 among the top private B-Schools in India. "
103,"Balaji Institute of International Business (BIIB), Pune","Pune,  Maharashtra",AICTE,Estd 2005,Private,8.7,"Acharya NG Ranga Agriculture University also known as ANGRAU Guntur that was established under the name of Andhra Pradesh Agricultural University (APAU) on the 12th of June 1964 through the APAU Act 1963. ANGRAU is one of the finest & premier universities in the fields of Agriculture & Home Science. With the help & guidance of extraordinary faculty members, the educational institute is approved by ICAR & UGC."
104,N.L. Dalmia,"Mumbai,  Maharashtra","ICAR, UGC",Estd 1964,State University,7.9,"Institute of Liver and Biliary Sciences (ILBS), is located in Delhi NCR, New Delhi. ILBS was established in 2009 and is an autonomous mono-super speciality hospital for liver and biliary diseases. The university is approved by UGC. According to the NIRF ranking 2023, ILBS ranked in the 23rd position among the top medical colleges in India. The courses offered by this institute include PDCC, PGCC, PhD, DM, M.Ch and certificate courses."
105,Gitarattan International Business School (GIBS),"New Delhi,  Delhi NCR",UGC,Estd 2009,Autonomous University,8.8,"International School of Management Patna or popularly known as ISM Patna was established in the year 2011 and is approved by the All India Council of Technical Education (AICTE). The institute offers a Post Graduate Diploma in Management (PGDM) course to the students. The admission process is merit-based and the institute accepts scores of the exams like CAT/ XAT/ MAT/ CMAT. ISM Patna has signed an MoU with the SolBridge University, South Korea. It will provide the students with an opportunity to spend one trimester in South Korea without any extra tuition fee."
106,"Krupanidhi College of Management - [KCM], Bangalore","Bangalore,  Karnataka",AICTE,Estd 2011,Private,7.7,The highlights of KGMU are tabulated below:
107,JIPMER,"Pondicherry,  Puducherry","DCI, MCI, UGC",Estd 1905,State University,7.9,"IILM Institute for Business & Management is a Private Institute located in Gurgaon, Haryana. The Institute was established in the year 1993 and is approved by All India Council for Technical Education (AICTE). Courses offered by the Institute are PGDM and FPM. Admissions to PGDM program will be done on the basis of CAT/ MAT/ CMAT/ GMAT/ XAT/ ATMA/ NMAT Entrance Exam score."
108,Asia-Pacific Institute of Management New Delhi,"New Delhi,  Delhi NCR",AICTE,Estd 1993,Private,6.5,"Guru Gobind Singh Indraprastha University (GGSIPU), popularly known as IP University or IPU is a state university, located in Delhi. GGSIPU is one of the largest universities in Delhi with a campus area of 78 acres and an enrollment of more than 8000 students. IPU is recognized by the UGC and accredited with an ‘A’ grade by the NAAC. It has been ranked 74th among the universities in India by NIRF 2023. IPU has more than 120 affiliated colleges out of which 83 are self-financed and 35 are owned and managed by the Government of NCT of Delhi."
109,TNAU,"Coimbatore,  Tamil Nadu","AICTE, UGC",Estd 1998,State University,7.6,"Krea University is one of the top universities for Liberal Education. Krea University has been enacted by the Legislature of the State of Andhra Pradesh as per The Andhra Pradesh Private Universities (Establishment and Regulation) (Amendment) Act, 2018 vide the gazette notification published on April 30, 2018. The university is a state-private university approved by UGC. As per the NIRF Ranking 2023, the university is ranked 74th  in the Management Category. IFMR Society is the sponsoring body of the University. Institute for Financial Management and Research (IFMR) has wide and deep experience in education and research for the past 48 years."
110,SIOM,"Nashik,  Maharashtra",UGC,Estd 2018,Private University,8.8,Acharya Institute of Management and Sciences is now known as the AIMS INSTITUTES was established in the year 1994 by a group of eminent educationists and philanthropists to impart quality education. AIMS Institute started with 2 UG programs and 60 students and now offering various PG & UG programs having around 2000 students at the campus.
111,ANGRAU Guntur,"Guntur,  Andhra Pradesh",AICTE,Estd 1994,Private,7.3,Table of Content
112,ILBS New Delhi,"New Delhi,  Delhi NCR","BCI, UGC",Estd 2014,Private University,8.1,"BIMHRD was started in 2004, with the aim of transforming students into industry leaders who can not only lead but also influence shape, and nurture their industry ecosystem. The institute provides two-year full-time PGDM programs in PM & HRD.BIMHRD formerly known as ICMHRD is a unique institute which has emerged as one amongst the Best B-schools in the country within a short period of time."
113,"International School of Management - [ISM], Patna","Patna,  Bihar",AICTE,Estd 2004,Private,8.8,"Panjab University (PU), also known as Panjab University Chandigarh (PUCHD), is a public research university located in Chandigarh, India. Established in 1882, it is one of the oldest universities in India and is known for its high standards of teaching and research. PU is ranked by several ranking agencies such as NIRF, Times Higher Education, and QS (Asia). Panjab University is ranked 44th by the NIRF in the Overall University rankings category of its 2023 ranking. Panjab University is an AICTE-approved university and has 188 affiliated colleges in eight districts of Punjab and the UT of Chandigarh. Check Panjab University Affiliated Colleges"
114,KGMU,"Lucknow,  Uttar Pradesh",AICTE,Estd 1882,State University,7.8,
115,IILM Institute for Business and Management,"Gurgaon,  Haryana",AICTE,Estd 2011,Private,7.9,"XISS Ranchi (Xavier Institute of Social Service), established in 1955, is a private management institute. XISS offers a PGDM program with a specialization in Human Resources, Rural Management, Finance, and Marketing. The PGDM program at XISS is AICTE-approved and holds equivalence to an MBA degree by AIU. XISS Ranchi has been ranked 36, among the private MBA colleges by Outlook-ICARE 2023."
116,IPU,"New Delhi,  Delhi NCR",AICTE,Estd 1955,Private,7.9,
117,Krea University,"Sri City,  Andhra Pradesh",NCHMCT,Estd 1962,Government,8.2,
118,AIMS Institutes,"Bangalore,  Karnataka","BCI, UGC",Estd 1998,State University,9.0,"Indian Institute of Social Welfare and Business Management (IISWBM), established in 1953, is the first business school in India to offer an MBA degree. It offers many postgraduate programs, certificates, and doctoral programs in management. Admission for all these courses is based on National level exams such as CAT, MAT, CMAT, GATE, GMAT, JEMAT, XAT, ATMA, and Group Discussion Personal Interview (GDPI) which is conducted by the institute. IISWBM has been ranked 49th by IIRF Ranking 2024 among the top private B-Schools in india. "
119,BML Munjal University Gurgaon,"Gurgaon,  Haryana",AICTE,Estd 1953,Public,7.6,"Shri Dharmasthala Manjunatheshwara Institute for Management Development, commonly called SDMIMD has been a premier B-School in Mysore since 1993. The institution is recognized by AICTE and accredited by NBA. The faculty established by SDM Education Trust, is affiliated to University of Mysore and Tumkur University, Kerala."
120,"Balaji Institute of Management and Human Resource Development - [BIMHRD], Pune","Pune,  Maharashtra","AICTE, NBA, AIU",Estd 1993,Private (Autonomous),8.5,"Loyola Institute of Business Administration (LIBA) Chennai is a private business school, established in 1979. The school is approved by the AICTE and recognised by the Association of Indian Universities (AIU). It is one of the best management colleges in India and has been ranked 42nd by Business Today Ranking 2023. LIBA Chennai has also earned global accreditation from SAQS and AACSB. LIBA Chennai offers a two-year Full-time flagship PGDM course, approved by AICTE. The School also offers other programs such as Part-time PGDM, PhD. and one-year executive diploma programs. The Management Development Centre offers various customized programs as well."
121,Panjab University,"Chandigarh,  Chandigarh","AICTE, NBA",Estd 1979,Private,8.8,IMT Hyderabad was established in 2011 and is now among the fast-growing Bschool in India. The college has 14000+alumni members across the world and 40+ Foreign University collaborations. The college offers a 2-year full-time residential flagship PGDM program and a 15-month Executive PGDM. The programs at IMT Hyderabad are approved by AICTE. It is also accredited by SAQS and NBA and has MBA equivalence issued by the AIU. Check IMT Hyderabad Admission
122,"Aditya Institute of Management Studies and Research - [AIMSR], Mumbai","Mumbai,  Maharashtra",AICTE,Estd 2011,Private,8.6,"Maulana Azad Institute of Dental Sciences, popularly known as MAIDS, is one of the best dental institutes located in New Delhi. MAIDS is the only dental institution affiliated with the University of Delhi (DU) offering BDS and MDS courses along with patient care and research activities. MAIDS is recognized by the Dental Council of India (DCI) and has been declared a 'Center of Excellence' by the Government of Delhi."
123,XISS Ranchi,"Ranchi,  Jharkhand",DCI,Estd 2003,Public,8.4,"IIT BHU is ranked 31st overall and 15th in the engineering category in the NIRF rating for 2023. In 1919, the Banaras Engineering College was founded, and in 2012, it changed its name to the Institute of Technology of India Banaras Hindu University (IIT-BHU). One of the first engineering schools in India, it led the way in the development of mechanical, electrical, ceramic, and pharmaceutical engineering. Spread over 1,300 acres, it is an Indian public technological university in Varanasi, Uttar Pradesh."
124,IHM Pusa,"New Delhi,  Delhi NCR",UGC,Estd 1919,Autonomous University,8.5,"Acharya Nagarjuna University was established in 1976 by the former President of India, Shri Fakruddin Ali Ahmed in Guntur, Andhra Pradesh. The university offers 68 undergraduate and postgraduate courses in the fields of Engineering, Sciences, Arts, Pharmacy, Sports and Architecture. It also provides M.Phil and Ph.D in 48 disciplines spread over six campus colleges. It has 450 affiliated colleges in Krishna, Guntur and Prakasm Districts. The National Assessment and Accreditation Council (NAAC) awarded Acharya Nagarjuna University an “A” grade. It is spread over an area of 300 acres. There are 5000 students enrolled in the university. Acharya Nagarjuna University is ranked 63rd in the Pharmacy Category by NIRF Ranking 2023. The university is focused on research with 66 patents, 200+ projects and more than 15000 research publications. The institute also offers distance education through ANUCDE. "
125,NALSAR (NLU Hyderabad),"Hyderabad,  Telangana",UGC,Estd 1976,Autonomous University,7.6,"Institute of Chemical Technology, Mumbai (ICT Mumbai) previously known as the University Department of Chemical Technology (UDCT) was established in 1933 with the support of multiple industries. In the recent rankings of 2023, ICT Mumbai has been placed at the 5th position among the NIRF Pharmacy Category and 24th rank in Engineering category by NIRF 2023. Check more about ICT Mumbai Rankings."
126,"IISWBM, Kolkata","Kolkata,  West Bengal","UGC, NBA, MHRD",Estd 1933,Deemed to be University,8.6,
127,SDMIMD Mysore,"Mysore,  Karnataka",AICTE,Estd 1993,Private,8.3,"Bharathidasan Institute of Management, Tiruchirappalli or BIM Trichy is a Private Indian business school established in 1984. BIM is affiliated to Bharathidasan University as an autonomous institution of excellence managed by an independently run professional society. The B-School is ranked 86th among the top 100 MBA colleges in India by MHRD NIRF Ranking 2023. BIM Trichy is also ranked 82nd in Top B-School & 33rd in South Zone by IIRF 2023."
128,LIBA Chennai,"Chennai,  Tamil Nadu",AICTE,Estd 1984,Private,8.3,"The Prestige Institute of Management and Research (PIMR), Indore is one of the premier management institutes of Madhya Pradesh. PIMR runs its programs through its three campuses: UG, PG, and the Department of Law. The college is popular for its MBA program (both full-time and part-time) with placements ranging between 3-4 LPA with most of the students recruited in the BFSI and FMCG sectors. Other than this, the college offers BBA, B.Com, BAJMC Electronic Media, LLB (Hons), LLM, etc. Admission to all courses is either merit-based or entrance-based. Check: PIMR Indore admission "
129,IMT Hyderabad,"Hyderabad,  Telangana","AICTE, BCI",Estd 1994,Private,7.6,"Indian Institute of Technology Indore was established in 2009 in Indore, Madhya Pradesh, India. According to NIRF 2023, IIT Indore is placed 14th in the Engineering category and 28th Overall Category. IIT Indore is an autonomous public University and is one of the eight new IITs started by the government of India. The institute has its permanent campus, which spans 501.42 acres. There are 40 courses available at IIT Indore, including UG, PG, and PhD options, across 11 departments."
130,Maulana Azad Institute of Dental Sciences (MAIDS),"New Delhi,  Delhi NCR",AICTE,Estd 2009,Autonomous University,8.4,"Established in 2006, International School of Management Excellence (ISME) is one of the leading private B-Schools located in Bangalore, Karnataka. The institute was founded by an alumni from Carnegie Mellon University, Purdue University and Wharton Business School, USA."
131,IIT BHU Varanasi,"Varanasi,  Uttar Pradesh","AICTE, NBA, AIU",Estd 2006,Private,8.0,"SOIL Institute of Management, established in 2008, is awarded the SHRM’s ‘Game Changer’ Academic Institute of the Year Award and ranked 20th in 1-Year MBA and 62nd in Top B-Schools by Business Today (BT) 2023. SOIL was co-created by 32 leading companies and supported by 25 NGOs with the aim to build Leaders with character, competence and enthusiasm. SOIL offers postgraduate programs in Human Resource, Business Design, and Business Leadership. Accredited by AICTE, SOIL Institute of Management houses two modern campuses - in Gurgaon and the Manesar (New Gurgaon) -  to nurture and transform more than 5000 students across India."
132,Acharya Nagarjuna University,"Guntur,  Andhra Pradesh","AICTE, AMBA",Estd 2008,Private,7.8,"Loyola College is a private Catholic institute of higher education located in Chennai. Established in 1925, Loyola College is affiliated to the University of Madras. The college is ranked 7th among the top 100 colleges in NIRF Rankings 2023 and accredited with an ‘A++’ grade by the NAAC. Loyola College offers more than 50 UG, PG, and PhD programs across various disciplines to more than 10000 students every year. "
133,ICT Mumbai,"Mumbai,  Maharashtra",UGC,Estd 1925,Private,8.6,"IIT Dhanbad is an autonomous university, established in 1926. IIT Dhanbad is ranked 17 in the Engineering category, 44 in Management, 24 in Research, and 42 in the Overall category by NIRF 2023. The campus of IIT Dhanbad covers 218 acres. The most popular program at IIT Dhanbad is BTech. Apart from the flagship BTech program IIT Dhanbad also offers Integrated MTech, MTech, and MSc Courses. IIT Dhanbad BTech admission is granted as per JEE Advanced score followed by JoSAA Counselling.   Check: IIT Dhanbad Admission"
134,"IILM Institute for Higher Education, New Delhi","New Delhi,  Delhi NCR","AICTE, UGC",Estd 1926,Autonomous University,8.5,"Established in 1991, ITM Business School has offered an AICTE approved PGDM program for the last 32 years. In 2023 ITM Group established ITM Skills University, a UGC approved University. From AY 2024 onwards, ITM's highly sought after ITM PGDM iConnect will be offered as an MBA award under ITM Skills University. This future focused change is going to further transform the ITM MBA iConnect into a modern, technology and industry aligned experience. This includes 5 months of Intensive Industry Internship for the students to develop, make them corporate-ready and capable of handling challenges."
